Date,Positivity_Rate
4/23/2022,168.0663867
4/24/2020,46.10817405
4/24/2021,79.51111963
4/24/2022,213.8918149
4/25/2020,53.649083
4/25/2021,88.14194543
4/25/2022,255.9447422
4/26/2020,46.5640599
4/26/2021,119.9988173
4/26/2022,243.4540183
4/27/2020,43.33864542
4/27/2021,117.3941176
4/27/2022,136.3538528
4/28/2020,50.36859565
4/28/2021,77.40566602
4/28/2022,166.6966887
4/29/2020,44.31365761
4/29/2021,67.50733241
4/29/2022,159.8232389
4/3/2020,
4/3/2021,39.22729503
4/3/2022,174.5512593
4/3/2023,154.7005571
4/30/2020,37.90222772
4/30/2021,71.71496401
4/30/2022,180.3337094
4/4/2020,
4/4/2021,52.436395
4/4/2022,224.6895936
4/4/2023,133.72582
4/5/2020,
4/5/2021,69.70708093
4/5/2022,172.8547741
4/6/2020,
4/6/2021,70.77062412
4/6/2022,118.5867397
4/7/2020,
4/7/2021,54.83974423
4/7/2022,126.1488734
4/8/2020,
4/8/2021,43.94793722
4/8/2022,162.6530031
4/9/2020,
4/9/2021,48.24458557
4/9/2022,160.9165864
5/1/2020,28.19985483
5/1/2021,79.99059889
5/1/2022,223.7622295
5/10/2020,21.75048246
5/10/2021,117.7221711
5/10/2022,192.5103663
5/11/2020,26.81460272
5/11/2021,110.8221566
5/11/2022,103.645248
5/12/2020,31.70527724
5/12/2021,65.58963245
5/12/2022,126.8643032
5/13/2020,23.95454846
5/13/2021,61.36907511
5/13/2022,127.6966292
5/14/2020,20.53474095
5/14/2021,63.73524069
5/14/2022,132.0884651
5/15/2020,18.8296829
5/15/2021,65.13705104
5/15/2022,159.6163265
5/16/2020,19.33250788
5/16/2021,80.42966628
5/16/2022,236.3256272
5/17/2020,21.03964975
5/17/2021,105.5963752
5/17/2022,149.3501185
5/18/2020,37.30202075
5/18/2021,108.9504691
5/18/2022,112.6482467
5/19/2020,61.36246344
5/19/2021,60.94425069
5/19/2022,109.3648946
5/2/2020,27.92394971
5/2/2021,82.11739255
5/2/2022,246.2064309
5/20/2020,49.06529396
5/20/2021,50.71135973
5/20/2022,113.8624853
5/21/2020,35.07519513
5/21/2021,59.79636912
5/21/2022,131.4316469
5/22/2020,34.0546293
5/22/2021,62.04881999
5/22/2022,157.9114248
5/23/2020,34.87486398
5/23/2021,66.19912255
5/23/2022,247.2658186
5/24/2020,34.70086972
5/24/2021,99.43923378
5/24/2022,219.5745332
5/25/2020,50.23255814
5/25/2021,112.8670582
5/25/2022,117.463318
5/26/2020,41.62025316
5/26/2021,73.83788737
5/26/2022,92.29065131
5/27/2020,26.14154497
5/27/2021,43.86951333
5/27/2022,90.13968159
5/28/2020,22.73062731
5/28/2021,37.77712524
5/28/2022,102.5493494
5/29/2020,21.57624831
5/29/2021,42.97803868
5/29/2022,135.6020942
5/3/2020,25.26536802
5/3/2021,111.5072787
5/3/2022,238.587835
5/30/2020,19.05523256
5/30/2021,50.33314512
5/30/2022,168.8599246
5/31/2020,22.2346303
5/31/2021,68.95094919
5/31/2022,107.0162559
5/4/2020,28.29268293
5/4/2021,108.0023711
5/4/2022,147.6310044
5/5/2020,39.14022902
5/5/2021,76.42187602
5/5/2022,145.4398393
5/6/2020,31.40961346
5/6/2021,63.52230312
5/6/2022,143.0793508
5/7/2020,26.84630081
5/7/2021,65.53624995
5/7/2022,170.1535707
5/8/2020,24.9647131
5/8/2021,68.77888617
5/8/2022,188.1422
5/9/2020,20.60643886
5/9/2021,84.07887909
5/9/2022,303.3367956
6/1/2020,26.66388483
6/1/2021,57.68927056
6/1/2022,74.30709323
6/10/2020,17.48157063
6/10/2021,20.57091939
6/10/2022,92.71105309
6/11/2020,13.03151062
6/11/2021,21.36170507
6/11/2022,76.40723982
6/12/2020,10.73230986
6/12/2021,24.23752023
6/12/2022,122.0947124
6/13/2020,10.7335373
6/13/2021,27.01751001
6/13/2022,138.358714
6/14/2020,11.63759773
6/14/2021,39.54960259
6/14/2022,94.22778772
6/15/2020,12.0913981
6/15/2021,29.20405547
6/15/2022,74.33798748
6/16/2020,11.8992819
6/16/2021,16.60492948
6/16/2022,61.92526401
6/17/2020,9.956620533
6/17/2021,14.41518356
6/17/2022,74.13876759
6/18/2020,9.33618166
6/18/2021,15.42619074
6/18/2022,86.25355316
6/19/2020,8.378328742
6/19/2021,15.2593819
6/19/2022,119.3455706
6/2/2020,25.79375492
6/2/2021,33.56837069
6/2/2022,88.45404804
6/20/2020,8.171760324
6/20/2021,17.43816171
6/20/2022,107.7694236
6/21/2020,9.189166097
6/21/2021,24.97830489
6/21/2022,91.61608498
6/22/2020,9.566210046
6/22/2021,19.35176358
6/22/2022,67.40691741
6/23/2020,13.13855087
6/23/2021,11.08025143
6/23/2022,69.10245474
6/24/2020,8.829232559
6/24/2021,9.954597818
6/24/2022,76.01330913
6/25/2020,7.400676093
6/25/2021,10.9144987
6/25/2022,82.0518222
6/26/2020,6.231319038
6/26/2021,10.64934051
6/26/2022,106.3821353
6/27/2020,5.649110235
6/27/2021,14.17080544
6/27/2022,146.0039335
6/28/2020,6.597282855
6/28/2021,19.1722133
6/28/2022,107.7278122
6/29/2020,7.557046485
6/29/2021,8.510563131
6/29/2022,71.96277496
6/3/2020,22.37554884
6/3/2021,29.06030283
6/3/2022,92.07685451
6/30/2020,8.636727135
6/30/2021,8.280137941
6/30/2022,93.84808537
6/4/2020,18.43242724
6/4/2021,29.32295865
6/4/2022,93.81422322
6/5/2020,16.68279806
6/5/2021,32.12552572
6/5/2022,129.8370963
6/6/2020,16.65440381
6/6/2021,36.96929534
6/6/2022,141.2625219
6/7/2020,20.33137194
6/7/2021,52.29623773
6/7/2022,104.3058738
6/8/2020,25.51279547
6/8/2021,41.97053302
6/8/2022,78.17340217
6/9/2020,28.1071878
6/9/2021,22.40168078
6/9/2022,88.94343868
7/1/2020,7.733343568
7/1/2021,8.411006721
7/1/2022,105.706278
7/10/2020,5.817930432
7/10/2021,7.216712387
7/10/2022,164.485266
7/11/2020,4.931915182
7/11/2021,8.101368887
7/11/2022,215.3390388
7/12/2020,5.714063593
7/12/2021,10.10481391
7/12/2022,117.7195961
7/13/2020,6.958269525
7/13/2021,8.851277946
7/13/2022,93.69221286
7/14/2020,8.612040134
7/14/2021,5.081657212
7/14/2022,129.6325879
7/15/2020,5.890024822
7/15/2021,4.605956143
7/15/2022,130.6247344
7/16/2020,5.152498868
7/16/2021,4.988267084
7/16/2022,125.7115973
7/17/2020,4.383403395
7/17/2021,6.41828721
7/17/2022,165.3960396
7/18/2020,4.845921869
7/18/2021,9.307666329
7/18/2022,245.3213405
7/19/2020,5.377463741
7/19/2021,11.71435982
7/19/2022,182.4312527
7/2/2020,8.058547817
7/2/2021,8.644330512
7/2/2022,143.2377643
7/20/2020,7.048247502
7/20/2021,9.966141616
7/20/2022,120.9233998
7/21/2020,6.894750588
